TIME(S)	ANN
0.0889	28
0.8583	1
1.3972	5
2.7139	1
3.6528	1
4.5861	1
5.4750	1
6.3722	1
6.9111	5
8.2111	1
9.1556	1
10.0361	1
10.8972	1
11.8250	1
12.3556	5
13.6278	1
14.5528	1
15.4222	1
16.3389	1
17.2500	1
18.1139	1
19.0667	1
20.0000	1
20.8667	1
21.1389	28
21.4139	5
22.7167	1
23.2694	5
24.6111	1
25.1444	5
26.4750	1
27.0444	5
28.3167	1
28.9472	5
30.1861	1
30.7361	5
31.4028	28
32.0694	1
32.9528	1
33.8500	1
34.7278	1
35.5667	1
35.8361	28
36.1083	5
37.3944	1
37.9361	5
39.2222	1
39.7917	5
41.0778	1
41.6139	5
42.2667	28
42.9194	1
43.8000	1
44.6667	1
45.5694	1
46.4444	1
46.9667	5
48.3083	1
49.2278	1
49.7583	5
51.0778	1
52.0167	1
52.5583	5
53.8972	1
54.4889	5
55.8444	1
56.7694	1
57.0333	28
57.3000	5
58.6167	1
59.1556	5
60.4528	1
61.0278	5
61.6389	28
62.2528	1
63.1778	1
64.0611	1
64.9472	1
65.8944	1
66.8167	1
67.7944	1
68.7417	1
69.6389	1
70.1750	5
71.5444	1
72.4222	1
73.3389	1
74.2472	1
75.1306	1
76.0167	1
76.9306	1
77.4528	5
78.8083	1
79.7722	1
80.7083	1
81.6000	1
82.5111	1
82.8111	28
83.0833	5
84.4056	1
84.9306	5
86.2944	1
86.8389	5
87.4833	28
88.1306	1
89.0639	1
89.9306	1
90.8250	1
91.7361	1
92.6222	1
93.5194	1
94.4472	1
95.3583	1
96.2694	1
97.2083	1
98.1611	1
99.0722	1
100.0417	1
100.9833	1
101.9000	1
102.8556	1
103.7667	1
104.6694	1
105.6306	1
106.5361	1
107.4306	1
108.3750	1
109.2778	1
110.1611	1
111.0667	1
111.9444	1
112.8528	1
113.7556	1
114.6611	1
115.5778	1
116.4889	1
117.0167	5
118.3194	1
119.2417	1
120.1361	1
121.0056	1
121.8917	1
122.7944	1
123.6583	1
124.5389	1
125.0806	5
126.3667	1
127.3111	1
128.2222	1
129.1139	1
130.0389	1
130.9222	1
131.1889	28
131.4583	5
132.7639	1
133.3083	5
134.6194	1
135.2750	5
135.9139	28
136.5222	1
137.4722	1
138.3528	1
138.8972	5
140.1889	1
141.0972	1
141.6250	5
142.9444	1
143.8556	1
144.7639	1
145.6500	1
146.5194	1
147.0583	5
148.3528	1
149.3111	1
150.2194	1
151.0972	1
152.0167	1
152.9083	1
153.7944	1
154.7167	1
155.6083	1
156.4917	1
157.4222	1
158.2944	1
158.8139	5
160.1444	1
161.0306	1
161.5444	5
162.8444	1
163.7306	1
164.2667	5
165.5306	1
166.0833	5
167.3806	1
168.2500	1
168.7583	5
170.0222	1
170.8806	1
171.7917	1
172.7028	1
173.5889	1
173.8611	28
174.1333	5
175.5389	1
176.4417	1
176.9889	5
178.3694	1
179.3556	1
179.8917	5
181.2472	1
182.1833	1
182.7111	5
184.0333	1
184.9611	1
185.5056	5
186.1722	28
186.8389	1
187.3833	5
188.7083	1
189.6250	1
189.8889	28
190.1528	5
191.4306	1
191.9972	5
193.2861	1
193.8528	5
195.1389	1
195.7722	5
197.0306	1
197.5611	5
198.8833	1
199.4417	5
200.0917	28
200.7417	1
201.6806	1
202.5778	1
203.4722	1
204.4278	1
205.3417	1
205.8611	5
207.2083	1
207.7750	5
209.1139	1
210.0361	1
210.9222	1
211.1972	28
211.4750	5
212.8111	1
213.3528	5
214.6861	1
215.2333	5
215.8889	28
216.5444	1
217.4778	1
218.3500	1
219.2806	1
220.2083	1
221.0833	1
222.0111	1
222.9528	1
223.8917	1
224.8333	1
225.7944	1
226.7611	1
227.2861	5
228.6056	1
229.5583	1
230.4444	1
230.9806	5
232.3056	1
232.8472	5
234.1806	1
235.0944	1
235.9417	1
236.4917	5
237.7861	1
238.0556	28
238.3278	5
239.6444	1
240.5194	1
241.0639	5
242.3694	1
243.2556	1
243.8028	5
245.1056	1
246.0361	1
246.5750	5
247.2306	28
247.8889	1
248.6167	5
249.8556	1
250.7361	1
251.2722	5
252.6000	1
253.5667	1
254.4611	1
255.3278	1
256.2778	1
256.8056	5
258.1083	1
259.0639	1
259.9778	1
260.8861	1
261.7778	1
262.3056	5
263.6333	1
264.5694	1
265.4611	1
266.3361	1
267.2361	1
267.7778	5
269.1056	1
270.0389	1
270.9750	1
271.8667	1
272.3972	5
273.7028	1
274.2333	5
275.5583	1
276.4750	1
277.3500	1
277.8806	5
279.1972	1
280.0889	1
280.9750	1
281.2417	28
281.5083	5
282.8111	1
283.3611	5
284.6417	1
285.2333	5
285.8944	28
286.5278	1
287.4111	1
287.9417	5
289.2000	1
290.0722	1
290.6139	5
291.8556	1
292.7306	1
293.0389	28
293.3194	5
294.5361	1
295.0583	5
296.3889	1
296.9278	5
298.2306	1
298.8194	5
299.4611	28
300.0750	1
301.0056	1
301.2722	28
301.5389	5
302.8222	1
303.7222	1
304.2528	5
305.5472	1
306.4361	1
306.9611	5
308.2611	1
309.1667	1
309.6889	5
310.9833	1
311.8861	1
312.4194	5
313.1222	28
313.7139	1
314.2417	5
315.5528	1
316.4111	1
317.2500	1
318.1250	1
318.9694	1
319.8556	1
320.7694	1
321.6333	1
322.1556	5
323.4944	1
324.0389	5
325.3222	1
326.2250	1
327.0861	1
327.3556	28
327.6278	5
328.9222	1
329.8028	1
330.3611	5
331.6417	1
332.5167	1
333.0528	5
334.3167	1
335.2056	1
335.7417	5
336.9722	1
337.8806	1
338.4028	5
339.6306	1
340.5111	1
341.0361	5
341.6694	28
342.3056	1
343.2139	1
344.1000	1
344.9722	1
345.5056	5
346.7694	1
347.3139	5
348.5667	1
349.4556	1
350.3111	1
351.1722	1
352.0528	1
352.9083	1
353.7861	1
354.6750	1
355.5306	1
356.4139	1
357.3444	1
358.2139	1
359.0972	1
360.0222	1
360.8917	1
361.4056	5
362.6944	1
363.2306	5
364.5333	1
365.4389	1
366.2917	1
366.8556	5
368.1361	1
368.4028	28
368.6722	5
369.9583	1
370.8306	1
371.3556	5
372.6306	1
373.5056	1
374.0194	5
375.3000	1
376.1750	1
376.6944	5
377.9667	1
378.8528	1
379.3972	5
380.6806	1
381.5611	1
382.1111	5
383.4056	1
384.2611	1
384.7806	5
385.4083	28
386.0389	1
386.9278	1
387.8028	1
388.6944	1
389.6222	1
390.5194	1
391.4306	1
392.3333	1
393.2306	1
394.1611	1
394.7083	5
396.0111	1
396.9722	1
397.8611	1
398.7111	1
399.6222	1
400.4889	1
401.3750	1
402.2861	1
403.1528	1
404.0500	1
404.9750	1
405.8556	1
406.7333	1
407.6472	1
408.5417	1
409.4500	1
410.3444	1
411.2250	1
412.1278	1
413.0194	1
413.8806	1
414.7694	1
415.6806	1
416.5722	1
417.4417	1
418.3444	1
419.2556	1
420.0944	1
420.9639	1
421.4944	5
422.7639	1
423.7000	1
424.6056	1
425.4611	1
426.3639	1
426.9139	5
428.2056	1
429.1389	1
430.0056	1
430.9000	1
431.8222	1
432.6889	1
433.6083	1
434.5528	1
435.4444	1
435.7000	28
435.9556	5
437.2889	1
438.1972	1
438.7444	5
440.0694	1
440.9667	1
441.5222	5
442.8528	1
443.7333	1
444.2667	5
445.5361	1
446.4306	1
446.9556	5
447.5806	28
448.2083	1
448.7667	5
450.0444	1
450.9278	1
451.7722	1
452.3000	5
453.6250	1
454.5111	1
455.4167	1
456.3639	1
457.2500	1
458.1389	1
459.0694	1
459.9556	1
460.4833	5
461.8250	1
462.3611	5
463.6889	1
464.6306	1
465.4917	1
465.7639	28
466.0389	5
467.3417	1
467.8917	5
469.2056	1
469.7528	5
470.4056	28
471.0611	1
471.9889	1
472.8389	1
473.7194	1
474.6139	1
475.1444	5
476.4611	1
477.4000	1
478.3333	1
479.2139	1
480.1056	1
480.6528	5
481.9528	1
482.9250	1
483.8361	1
484.7111	1
485.6500	1
486.5306	1
487.4111	1
488.3472	1
489.2222	1
490.1167	1
491.0583	1
491.9639	1
492.8611	1
493.7889	1
494.6861	1
495.5639	1
496.4639	1
497.3667	1
498.2667	1
499.1556	1
500.0389	1
500.9306	1
501.8306	1
502.7083	1
503.5750	1
504.4778	1
505.3778	1
506.2528	1
507.1556	1
508.0528	1
508.9528	1
509.8639	1
510.7583	1
511.6417	1
512.5722	1
513.4639	1
514.3639	1
515.2889	1
516.1722	1
517.0694	1
517.9694	1
518.8444	1
519.7306	1
520.6583	1
521.5667	1
522.4361	1
523.3833	1
524.3139	1
525.1778	1
526.0917	1
526.9889	1
527.8750	1
528.7833	1
529.6667	1
530.5667	1
531.4806	1
532.3611	1
533.2444	1
534.1444	1
535.0444	1
535.9472	1
536.8500	1
537.7528	1
538.6306	1
539.4972	1
540.3611	1
541.2194	1
542.0944	1
542.9861	1
543.8417	1
